label,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28
1,0.8690000000000001,-0.635,0.226,0.327,-0.69,0.754,-0.249,-1.092,0.0,1.375,-0.654,0.93,1.107,1.139,-1.578,-1.047,0.0,0.6579999999999999,-0.01,-0.046,3.102,1.354,0.98,0.978,0.92,0.722,0.9890000000000001,0.877
1,0.9079999999999999,0.32899999999999996,0.359,1.4980000000000002,-0.313,1.0959999999999999,-0.5579999999999999,-1.588,2.173,0.813,-0.214,1.271,2.215,0.5,-1.261,0.732,0.0,0.39899999999999997,-1.139,-0.001,0.0,0.302,0.833,0.986,0.978,0.78,0.992,0.7979999999999999
1,0.799,1.4709999999999999,-1.636,0.45399999999999996,0.426,1.105,1.2819999999999998,1.382,0.0,0.852,1.541,-0.82,2.215,0.993,0.35600000000000004,-0.209,2.548,1.2570000000000001,1.129,0.9,0.0,0.91,1.1079999999999999,0.986,0.951,0.8029999999999999,0.866,0.78
0,1.344,-0.877,0.9359999999999999,1.992,0.882,1.786,-1.6469999999999998,-0.9420000000000001,0.0,2.423,-0.6759999999999999,0.736,2.215,1.2990000000000002,-1.431,-0.365,0.0,0.745,-0.6779999999999999,-1.36,0.0,0.9470000000000001,1.0290000000000001,0.9990000000000001,0.728,0.8690000000000001,1.0270000000000001,0.958
1,1.105,0.321,1.5219999999999998,0.883,-1.205,0.6809999999999999,-1.07,-0.922,0.0,0.8009999999999999,1.021,0.971,2.215,0.597,-0.35,0.631,0.0,0.48,-0.374,0.113,0.0,0.7559999999999999,1.361,0.987,0.838,1.133,0.872,0.8079999999999999
0,1.5959999999999999,-0.608,0.006999999999999999,1.818,-0.11199999999999999,0.848,-0.5660000000000001,1.581,2.173,0.755,0.643,1.426,0.0,0.922,-1.19,-1.6159999999999999,0.0,0.6509999999999999,-0.654,-1.274,3.102,0.8240000000000001,0.938,0.972,0.789,0.431,0.961,0.958
1,0.409,-1.885,-1.0270000000000001,1.672,-1.605,1.338,0.055,0.013000000000000001,2.173,0.51,-1.038,0.708,0.0,0.747,-0.358,-1.6469999999999998,0.0,0.36700000000000005,0.069,1.3769999999999998,3.102,0.8690000000000001,1.222,1.001,0.545,0.6990000000000001,0.977,0.8290000000000001
1,0.934,0.629,0.528,0.23800000000000002,-0.9670000000000001,0.5479999999999999,-0.059000000000000004,-1.7069999999999999,2.173,0.941,-2.654,-0.157,0.0,1.03,-0.17600000000000002,0.523,2.548,1.374,1.291,-1.4669999999999999,0.0,0.902,1.084,0.98,0.7829999999999999,0.8490000000000001,0.894,0.775
1,1.405,0.537,0.69,1.18,-0.11,3.202,-1.527,-1.5759999999999998,0.0,2.932,0.5670000000000001,-0.13,2.215,1.787,0.899,0.585,2.548,0.402,-0.151,1.163,0.0,1.6669999999999998,4.039,1.176,1.045,1.5430000000000001,3.535,2.741
1,1.177,0.10400000000000001,1.3969999999999998,0.48,0.266,1.136,1.535,-0.253,0.0,1.0270000000000001,0.534,1.18,0.0,2.406,0.08800000000000001,-0.977,2.548,1.25,0.26899999999999996,0.53,0.0,0.833,0.774,0.986,1.104,0.8490000000000001,0.937,0.812
1,0.946,1.111,1.218,0.9079999999999999,0.8220000000000001,1.153,-0.365,-1.5659999999999998,0.0,0.745,0.721,-0.376,2.215,0.609,0.308,-1.2819999999999998,0.0,1.598,-0.451,0.064,3.102,0.8290000000000001,0.981,0.9940000000000001,0.9079999999999999,0.7759999999999999,0.7829999999999999,0.725
0,0.7390000000000001,-0.17800000000000002,0.83,0.505,-0.13,0.961,-0.35600000000000004,-1.7169999999999999,2.173,0.621,-0.48200000000000004,-1.199,0.0,0.983,0.081,-0.29,0.0,1.065,0.774,0.39899999999999997,3.102,0.945,1.026,0.982,0.542,1.251,0.83,0.7609999999999999
1,1.3840000000000001,0.11699999999999999,-1.18,0.763,-0.08,1.02,0.877,1.2770000000000001,2.173,0.331,1.41,-1.474,0.0,1.2830000000000001,0.737,-0.225,0.0,1.56,0.847,0.505,3.102,0.9590000000000001,0.807,1.192,1.2209999999999999,0.861,0.929,0.838
1,1.3840000000000001,0.889,0.619,1.082,0.345,0.956,0.855,-1.129,2.173,0.546,-0.308,-0.623,2.215,0.348,1.024,0.184,0.0,0.7809999999999999,-1.636,1.1440000000000001,0.0,0.522,0.738,0.986,1.35,0.813,0.953,0.78
1,1.344,0.8390000000000001,-1.061,2.472,-0.573,1.5130000000000001,1.1440000000000001,0.856,0.0,0.884,1.475,-1.361,1.107,1.587,2.235,0.078,0.0,1.609,2.396,0.757,0.0,0.934,0.845,1.078,1.4,0.948,1.008,0.9009999999999999
0,0.547,-0.35,-0.647,2.04,0.276,0.545,0.8390000000000001,1.729,0.0,0.653,1.472,1.2429999999999999,0.0,0.7859999999999999,-0.044000000000000004,-1.02,2.548,0.419,-0.629,1.571,3.102,0.6890000000000001,0.867,1.082,0.664,0.354,0.58,0.8170000000000001
1,1.484,1.7,-1.0590000000000002,2.7,-1.056,2.4090000000000003,0.457,0.345,0.0,1.415,1.114,-1.449,0.0,1.013,-2.057,1.131,0.0,0.905,2.182,1.043,0.0,1.6540000000000001,0.9940000000000001,0.983,0.741,0.163,0.5920000000000001,0.745
0,1.058,-0.161,-0.195,2.705,-0.7509999999999999,1.91,-1.032,0.865,0.0,1.301,0.147,-1.119,1.107,0.9670000000000001,-0.36700000000000005,1.1079999999999999,0.0,0.555,-0.7140000000000001,1.505,3.102,0.9540000000000001,0.6509999999999999,1.125,0.894,0.672,1.182,1.3159999999999998
0,0.675,1.121,-0.28,1.54,0.735,0.615,-0.507,0.795,2.173,0.21899999999999997,-1.8940000000000001,-0.581,0.0,1.246,-0.348,-0.856,2.548,0.753,-1.146,-1.375,0.0,0.907,0.898,1.12,1.2690000000000001,1.089,1.015,0.915
1,0.643,-1.43,1.5190000000000001,0.941,0.887,1.615,-1.337,-0.267,1.087,1.6669999999999998,0.6559999999999999,-1.588,0.0,0.828,1.8359999999999999,0.408,0.0,1.709,-0.34700000000000003,-1.183,3.102,0.9209999999999999,1.3730000000000002,0.985,1.423,1.547,1.7830000000000001,1.4380000000000002
1,1.102,0.42700000000000005,1.7169999999999999,0.934,0.7759999999999999,1.2790000000000001,-0.25,-0.9259999999999999,2.173,1.067,0.434,0.6809999999999999,0.0,1.054,0.004,0.255,0.0,0.743,1.208,-1.151,0.0,0.7090000000000001,0.522,1.054,1.273,0.835,0.935,0.865
1,1.33,0.20199999999999999,1.173,0.135,-1.083,0.728,1.109,-0.54,1.087,0.462,0.133,-0.561,0.0,0.479,1.187,0.6579999999999999,0.0,0.67,1.0070000000000001,0.055,3.102,0.782,0.672,0.99,0.7340000000000001,0.379,0.765,0.643
0,1.29,-1.423,-0.687,0.131,-1.136,0.821,0.29600000000000004,0.168,2.173,0.696,-0.469,-1.151,1.107,0.94,0.273,1.641,0.0,0.72,1.1059999999999999,0.727,0.0,1.0070000000000001,0.868,0.9990000000000001,1.11,1.125,0.883,0.8590000000000001
1,1.048,-1.119,-0.9570000000000001,0.996,-1.55,0.733,0.28300000000000003,0.919,2.173,1.05,-0.040999999999999995,0.109,2.215,0.943,0.32,-0.858,0.0,0.628,-0.325,1.217,0.0,0.873,0.873,0.976,1.3730000000000002,0.888,1.207,0.9990000000000001
0,0.488,1.6980000000000002,0.7909999999999999,0.894,-0.7090000000000001,1.5630000000000002,-0.076,1.739,2.173,0.624,2.395,0.523,0.0,1.661,0.266,-0.218,2.548,0.9470000000000001,-0.077,0.285,0.0,1.675,1.4140000000000001,0.988,1.3330000000000002,2.004,1.551,1.217
0,1.413,-0.852,0.31,1.128,-1.51,0.82,1.153,-1.67,2.173,1.17,0.1,0.266,0.0,0.852,0.401,-1.334,0.0,1.37,0.96,-0.632,0.0,0.89,0.938,1.745,0.9740000000000001,0.677,1.136,0.973
1,0.77,-0.449,-0.986,0.966,-1.301,0.7390000000000001,-1.033,0.875,1.087,1.369,-1.181,0.16699999999999998,1.107,1.2570000000000001,-0.122,-1.588,0.0,0.6,0.611,0.11599999999999999,0.0,1.048,1.1059999999999999,0.993,1.1320000000000001,0.892,0.9740000000000001,0.951
0,2.468,0.664,1.024,0.317,1.4069999999999998,0.996,-0.45299999999999996,-0.5,0.0,0.348,1.016,-0.161,0.0,0.978,-2.634,-0.285,0.0,1.245,-0.47200000000000003,1.464,3.102,1.006,0.795,0.996,0.945,0.322,0.735,1.47
1,1.014,0.013000000000000001,-0.485,0.695,1.7009999999999998,0.597,0.076,0.14300000000000002,2.173,0.917,0.685,1.713,2.215,0.531,-0.987,-1.6540000000000001,0.0,0.963,1.295,0.264,0.0,1.5759999999999998,1.067,1.072,0.8059999999999999,1.13,0.838,0.752
0,1.251,-0.75,1.09,0.462,-0.381,0.677,0.34,-0.711,0.0,0.601,-0.461,-1.247,0.0,0.8220000000000001,0.985,-1.653,0.0,0.754,-0.907,0.27899999999999997,3.102,0.848,0.8420000000000001,1.021,0.6659999999999999,0.41100000000000003,0.607,0.638
1,1.114,1.7819999999999998,1.45,0.653,1.5130000000000001,0.825,1.851,-0.48,0.0,0.846,1.158,0.514,2.215,0.52,2.685,1.5419999999999998,0.0,1.042,0.5489999999999999,-0.46299999999999997,1.551,1.321,1.037,0.997,0.8240000000000001,0.6920000000000001,0.804,0.831
1,0.657,-0.9009999999999999,-0.855,1.176,1.4869999999999999,0.745,-1.236,1.649,2.173,0.6609999999999999,-2.099,0.13699999999999998,0.0,1.78,-1.036,-0.213,0.0,1.236,-0.185,0.784,3.102,0.861,1.016,1.045,0.759,0.898,0.8490000000000001,0.765
0,1.0090000000000001,-0.66,-1.5390000000000001,1.3159999999999998,-1.693,1.146,2.025,0.13699999999999998,0.0,1.063,-0.539,1.052,2.215,1.124,0.5479999999999999,-0.887,2.548,1.0170000000000001,-0.057,0.172,0.0,1.0759999999999998,0.9390000000000001,0.9740000000000001,0.932,1.3459999999999999,0.8540000000000001,0.8220000000000001
0,2.122,0.792,0.723,2.438,1.064,2.6919999999999997,0.361,-0.993,2.173,1.725,1.204,0.488,2.215,0.267,-0.767,-1.1340000000000001,0.0,1.3719999999999999,0.601,-0.568,0.0,0.727,0.981,0.9890000000000001,2.8369999999999997,3.398,2.1519999999999997,1.568
1,0.304,-1.425,-1.646,1.166,-1.469,1.4580000000000002,-0.47200000000000003,0.51,2.173,0.867,-0.309,-1.605,0.0,1.317,0.136,-0.332,2.548,0.853,0.7440000000000001,-1.365,0.0,0.76,0.98,0.986,1.376,1.3090000000000002,1.081,0.9570000000000001
1,1.167,0.556,-0.9109999999999999,0.9079999999999999,0.051,1.078,0.387,1.253,0.0,1.213,0.155,-0.6729999999999999,2.215,0.489,-1.3840000000000001,0.7040000000000001,0.0,1.348,0.6920000000000001,-1.5019999999999998,3.102,0.868,0.8290000000000001,1.087,0.782,0.878,0.642,0.621
1,0.88,0.617,-0.649,1.724,1.104,1.213,-0.5760000000000001,1.216,2.173,0.782,-0.9129999999999999,-0.102,0.0,1.183,-0.5760000000000001,-0.7829999999999999,0.0,0.43200000000000005,1.286,-0.204,0.0,0.879,0.616,1.706,1.435,0.598,0.9109999999999999,1.0070000000000001
0,0.313,1.256,-0.904,1.002,1.29,1.383,1.295,-1.528,2.173,1.16,-0.765,0.08,1.107,1.06,2.309,-0.34,0.0,0.852,1.129,0.37799999999999995,0.0,0.9109999999999999,1.48,0.988,1.0,2.9760000000000004,1.837,1.444
0,1.263,0.596,0.46,1.063,1.06,0.7090000000000001,-0.613,-0.688,0.0,1.464,1.079,1.1740000000000002,2.215,1.411,0.369,-0.596,1.274,0.611,0.293,-0.894,0.0,1.175,1.244,0.988,0.905,1.6230000000000002,1.442,1.222
